    PID RUSER    USER     CMD
   2678 daniil   daniil   /usr/libexec/gdm-wayland-session /usr/bin/gnome-session
   2687 daniil   daniil   /usr/bin/dbus-broker-launch --scope user
   2689 daniil   daniil   dbus-broker --log 10 --controller 9 --machine-id 910a4e034db549048017cd9d26bd488e --max-bytes 100000000000000 --max-fds 25000000000000 --max-matches 5000000000
   2691 daniil   daniil   /usr/libexec/gnome-session-init-worker gnome
   2757 daniil   daniil   /usr/libexec/gnome-session-ctl --monitor
   2758 daniil   daniil   /usr/libexec/uresourced --user
   2767 daniil   daniil   /usr/libexec/gnome-session-service --session=gnome
   2768 daniil   daniil   /usr/libexec/gvfsd
   2778 daniil   daniil   /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f
   2791 daniil   daniil   /usr/bin/gnome-shell --mode=user
   2792 daniil   daniil   /usr/bin/pipewire
   2793 daniil   daniil   /usr/bin/wireplumber
   2837 daniil   daniil   /usr/libexec/at-spi-bus-launcher
   2843 daniil   daniil   /usr/bin/dbus-broker-launch --config-file=/usr/share/defaults/at-spi2/accessibility.conf --scope user
   2844 daniil   daniil   dbus-broker --log 10 --controller 9 --machine-id 910a4e034db549048017cd9d26bd488e --max-bytes 100000000000000 --max-fds 6400000 --max-matches 5000000000
   2845 daniil   daniil   /usr/libexec/at-spi2-registryd --use-gnome-session
   2862 daniil   daniil   /usr/libexec/xdg-permission-store
   2863 daniil   daniil   /usr/libexec/gnome-shell-calendar-server
   2878 daniil   daniil   /usr/libexec/dconf-service
   2886 daniil   daniil   /usr/bin/gjs -m /usr/share/gnome-shell/org.gnome.Shell.Notifications
   2925 daniil   daniil   /usr/libexec/evolution-source-registry
   2931 daniil   daniil   /usr/bin/ibus-daemon --panel disable
   2932 daniil   daniil   /usr/libexec/gsd-a11y-settings
   2933 daniil   daniil   /usr/libexec/gsd-color
   2935 daniil   daniil   /usr/libexec/gsd-datetime
   2936 daniil   daniil   /usr/libexec/gsd-housekeeping
   2937 daniil   daniil   /usr/libexec/gsd-keyboard
   2938 daniil   daniil   /usr/libexec/gsd-media-keys
   2939 daniil   daniil   /usr/libexec/gsd-power
   2940 daniil   daniil   /usr/libexec/gsd-print-notifications
   2941 daniil   daniil   /usr/libexec/gsd-rfkill
   2942 daniil   daniil   /usr/libexec/gsd-screensaver-proxy
   2943 daniil   daniil   /usr/libexec/gsd-sharing
   2944 daniil   daniil   /usr/libexec/gsd-smartcard
   2945 daniil   daniil   /usr/libexec/gsd-sound
   2947 daniil   daniil   /usr/libexec/gsd-usb-protection
   2949 daniil   daniil   /usr/libexec/gsd-wwan
   2953 daniil   daniil   /usr/libexec/gvfs-udisks2-volume-monitor
   3031 daniil   daniil   /usr/libexec/ibus-dconf
   3036 daniil   daniil   /usr/libexec/ibus-extension-gtk3
   3097 daniil   daniil   /usr/libexec/ibus-portal
   3117 daniil   daniil   /usr/libexec/gvfs-mtp-volume-monitor
   3124 root     root     /usr/bin/cupsd -l
   3132 daniil   daniil   /usr/bin/gjs -m /usr/share/gnome-shell/org.gnome.ScreenSaver
   3141 daniil   daniil   /usr/libexec/gsd-disk-utility-notify
   3156 daniil   daniil   /usr/libexec/evolution-data-server/evolution-alarm-notify
   3157 daniil   daniil   /usr/bin/gnome-software --gapplication-service
   3166 daniil   daniil   /usr/libexec/localsearch-3
   3179 daniil   daniil   /usr/bin/vmtoolsd -n vmusr --uinputFd 3
